#{"t_start": 1762977699.29812, "env_id": "None"}
r,l,t
-1.0,10,791.777299
-4.6,6,792.215617
-10.9,14,792.879107
7.1,19,793.689496
-4.6,6,794.098969
0.8,12,794.724787
-5.8,8,795.222194
-4.3,8,795.705245
0.8,12,796.310743
9.2,33,797.61215
-6.1,6,798.014909
-0.1,11,798.636016
-4.6,6,799.076721
6.8,37,800.521856
1.7,13,801.13659
-7.6,6,801.540739
-4.3,8,802.046737
-3.7,7,802.462136
-6.1,6,802.883371
19.7,38,804.38485
-4.3,8,804.890535
-4.6,6,805.289503
-4.3,8,805.790732
2.6,14,807.319415
-1.6,11,807.793643
4.7,18,808.586433
13.7,28,809.716527
-1.9,9,810.221178
-4.6,6,810.625499
-4.0,10,811.196684
-6.1,6,811.595581
-3.4,9,812.101513
-3.7,12,812.733937
6.5,20,813.622769
-1.9,9,814.131413
-3.1,11,814.739022
1.7,13,815.353552
7.4,21,816.253818
17.6,34,817.546052
12.5,25,818.560887
-6.1,6,818.982522
-2.8,8,819.5033
6.8,22,820.385393
-4.6,6,820.844802
-4.6,6,821.270674
14.9,41,822.792464
7.1,19,823.612136
-4.6,6,824.015211
